"Front","Back","Tags"
"Terapie/péče u dospělého s atypickým autismem — na čem PRACOVAT?","Stabilní, předvídatelné prostředí v ÚSP, jasná struktura dne a rituály. Citlivá adaptace na ztrátu (postupné zvykání, vizuální podpora, doprovázení). Zachování soběstačnosti a pracovní náplň. Vizualizace a strukturované učení pro dospělého. Sociální/právní zajištění (opatrovnictví, příspěvek na péči). — Zdroj: Vágnerová STR.84, 86–87; Thorová ⚠️","pripad21 speciální pedagogika osob s PAS terapie-pracovat-na"
"Případ 21: s kým / čím propojit (organizace, odborníci v ČR)?","ÚSP / domov pro osoby se ZP (už využívá) — pobytová služba, stálý režim. NAUTIS (dříve APLA) — metodická podpora péče o dospělé s PAS. Psychiatr/psycholog (zvládání ztráty). Sociální pracovník/opatrovník (opatrovnictví, příspěvek na péči). Chráněné dílny (pracovní náplň). — Zdroj: bibliografie.md ⚠️ ověřit aktuálnost","pripad21 organizace propojeni"
"Co je mentální retardace a kde je „hranice defektivity""?","Souhrnné označení VROZENÉHO defektu rozumových schopností (méně než 70 % normy), trvalého. Příčinou je porucha CNS. Hranice mentální defektivity = IQ 70 (průměr = IQ 100). V populaci ~3 %. — Zdroj: Vágnerová kap.10, STR.77, 78","pripad22 psychopedie definice"
"Středně těžká MR (F71) — úroveň myšlení, řeči a učení?","IQ 35–49. Myšlení ≈ PŘEDŠKOLNÍ dítě. Řeč chudá, agramatická, špatně artikulovaná; chybí i méně běžné konkrétní pojmy. Učí se JEN MECHANICKY na praktické úrovni. Zvládne běžné návyky a jednoduché dovednosti (sebeobsluha, pracovní úkony). — Zdroj: Vágnerová STR.78","pripad22 psychopedie stupen-f71"
"ZKUŠEBNÍ PAST: případ 22 (F71) vs případ 19 (F70) — dva rozdíly?","Medailonek skoro identický (muž 34 let, vada řeči, ZŠ speciální, šikanován, potíže v kontaktu). ROZDÍLY: 1) stupeň — 22 = STŘEDNĚ TĚŽKÁ (F71, IQ 35–49, myšlení ≈ předškolák), 19 = LEHKÁ (F70, IQ 50–69, myšlení ≈ školák). 2) Případ 22 má NAVÍC agresivitu/sebepoškozování; případ 19 ji nemá. — Zdroj: Vágnerová STR.78, 82–83","pripad22 psychopedie diferenciace-stupnu"
"Případ 22: jak vyložit agresivitu a sebepoškozování?","NENÍ to „zlobení"". Agrese se v rané dospělosti zvyšuje jako reakce na stresující prostředí (odmítání, omezování, které nechápe) NEBO z biologických faktorů (dráždivost u organického poškození). Sebepoškozování = autostimulace / mechanismus uvolňující napětí z přetěžování, případně neverbální KOMUNIKACE potřeb. Řešit úpravou zátěže a podnětů, ne trestem. — Zdroj: Vágnerová STR.82, 83","pripad22 psychopedie kontext-pripadu"
"Případ 22: jak vyložit šikanu a potíže v kontaktu?","Šikana = násilně ponižující chování vůči slabšímu (MR + vada řeči = snadný terč). NENÍ příčinou MR — je to sociální důsledek → snížené sebevědomí, nedůvěra, potíže v navazování kontaktu. Problémové chování bývá u závažněji postižených způsobem neverbální komunikace. — Zdroj: Vágnerová STR.83, 155","pripad22 psychopedie diferenciace"
"Hlavní příčiny vzniku mentální retardace?","1) Dědičné (Downův sy = trizomie 21; polygenní). 2) Teratogenní prenatální (záření, alkohol, léky, virus zarděnek). 3) Perinatální (asfyxie, krvácení do mozku). 4) Postnatální do 18 měsíců (později = získané). POZOR: pseudooligofrenie (ze zanedbanosti, bez narušení CNS) NENÍ MR. — Zdroj: Vágnerová STR.78","pripad22 psychopedie etiologie"
"Případ 22 (středně těžká MR + agrese) — čeho se VYVAROVAT?","Nepřetěžovat (nesrozumitelné nároky spouští afekty a sebepoškozování). NEREAGOVAT na agresi/sebepoškozování TRESTEM — je to obrana/komunikace, trest jen zvyšuje napětí. Nevyžadovat abstrakci, rychlé reakce, časté změny. Nepoužívat ironii/metafory. Neměnit zbytečně prostředí a pečující osoby; nebagatelizovat šikanu. — Zdroj: Vágnerová STR.80, 82, 83, 155","pripad22 psychopedie terapie-vyvarovat-se"
"Případ 22 (středně těžká MR + agrese) — na čem PRACOVAT?","Klidné, stabilní, srozumitelné a BEZPEČNÉ prostředí + stereotyp a režim. Hledat a odstraňovat SPOUŠTĚČE agrese/sebepoškozování + nabídnout náhradní podnět. Citová jistota (motivátor učení). AAK — naučit sdělit potřebu místo afektu. Obnova důvěry po šikaně + pochvala. Sebeobsluha a jednoduché úkony na úrovni F71. — Zdroj: Vágnerová STR.79, 81, 82–83, 155","pripad22 psychopedie terapie-pracovat-na"
"Případ 22: s kým / čím propojit (organizace, odborníci v ČR)?","SPC (diagnostika, poradenství), klinický logoped (vada řeči + AAK), psycholog/psychiatr (spouštěče agrese, následky šikany, případně medikace afektů), denní stacionář / chráněné bydlení (struktura, bezpečí), SPMP ČR, sociální odbor (příspěvek na péči). — Zdroj: bibliografie.md ⚠️ ověřit aktuálnost","pripad22 organizace propojeni"
"Co je rozštěp páteře (spina bifida) a jaký je v případě 23 typ postižení?","Vrozená vývojová vada neúplného uzávěru neurální trubice / páteřního kanálu; různá míra postižení hybnosti dolních končetin a funkcí pánve. VROZENÉ tělesné postižení (somatopedie). U této ženy lehčí stupeň — chodí o francouzských berlích, vystudovala SŠ. — Zdroj: Vágnerová kap.8.6, STR.70; Pipeková ⚠️","pripad23 somatopedie definice"
"Případ 23 (KLÍČOVÉ): co je skutečným jádrem problému — tíže postižení, nebo něco jiného?","NE tíže postižení! Žena chodí o berlích a vystudovala SŠ ekonomickou — objektivně by zvládla víc. Jádrem je PSYCHOSOCIÁLNÍ rozměr: nesoběstačnost a závislost na matce jsou z velké části NAUČENÉ (hyperprotektivní výchova, neuvolnění symbiotické vazby), ne nutný důsledek vady. — Zdroj: Vágnerová STR.58, 70","pripad23 somatopedie diferenciace-jadro-pripadu"
"Co je hyperprotektivita a jak souvisí se závislostí (případ 23)?","Hyperprotektivita = nadměrně ochranitelský postoj rodiče a neochota uvolnit symbiotickou vazbu s dítětem. U postižených dětí je osamostatňování vždy obtížnější a rodiče přetrvávání závislosti považují za přiměřené → vzniká pasivně-receptivní postoj a naučená nesamostatnost. Závislost funguje jako zdroj jistoty a bezpečí. — Zdroj: Vágnerová STR.58–59","pripad23 somatopedie etiologie-psychosocialni"
"Proč je u případu 23 chybou hodnotit ženu jako mentálně postiženou nebo neschopnou?","Tělesné postižení ≠ snížený intelekt. Žena vystudovala STŘEDNÍ EKONOMICKOU ŠKOLU — inteligence je zachována. Pohybově postižení mohou studovat většinu oborů a dosahovat dobrých výsledků; profesní role bývá nejdůležitější složkou identity. Tělesné ≠ mentální. — Zdroj: Vágnerová STR.70","pripad23 somatopedie diferenciace-telesne-mentalni"
"VROZENÉ × získané u případu 23 (rozštěp × úraz)?","Rozštěp páteře je VROZENÉ postižení — žena je na něj zvyklá od dětství, není subjektivně tak traumatizující jako úraz, zato více formuje vývoj. Riziko vrozeně postižených: nedostatečné osamostatnění a fixace závislosti. Kontrast: získaná paraplegie (případ 14) = náhlá ztráta, větší trauma, ale zachované kompetence. — Zdroj: Vágnerová STR.57–59","pripad23 somatopedie etiologie-vrozene-ziskane"
"Terapie (případ 23) — čeho se VYVAROVAT?","Nepřičítat nesoběstačnost jen postižení (z velké části je naučená). Nepodporovat hyperprotektivitu matky a setrvávání symbiotické vazby. Nepodceňovat intelekt a kompetence. Neřešit za ni vše „pro jistotu“ (upevňuje pasivitu). Nezanedbat vrstevnické a partnerské vztahy mimo matku. — Zdroj: Vágnerová STR.58–59, 70","pripad23 somatopedie terapie-vyvarovat-se"
"Terapie (případ 23) — na čem PRACOVAT?","Postupné osamostatňování (nácvik soběstačnosti, podporované bydlení, vlastní rozhodování). Pracovní uplatnění s využitím SŠ ekonomické. Práce s matkou — uvolnění symbiotické vazby, přenesení péče na služby. Posílení sebedůvěry a motivace k autonomii (chybí motivace, ne schopnosti). Rozšíření sociálních vztahů mimo domácnost. — Zdroj: Vágnerová STR.58–59, 62, 70","pripad23 somatopedie terapie-pracovat-na"
"Případ 23: jak vyložit chůzi o berlích, SŠ a soužití s matkou po rozvodu rodičů?","Berle = zachovaná částečná lokomoce (tělesný stav umožňuje vyšší samostatnost, než žena uplatňuje). SŠ = zachovaný intelekt a kompetence. Po rozvodu je matka jediné zázemí → silná symbiotická vazba, která nahrazuje partnerství a brání dospělé roli. Cíl: přenést jistotu z matky na vlastní kompetence a služby. — Zdroj: Vágnerová STR.58, 62, 70","pripad23 somatopedie kontext-pripadu"
"Případ 23: s kým / čím propojit (organizace, odborníci v ČR)?","Liga vozíčkářů (poradenství, samostatný život, zaměstnávání). Sociální rehabilitace / podporované bydlení a zaměstnávání (nácvik samostatnosti, práce). Psycholog / rodinný terapeut (závislost, hyperprotektivní vazba). Fyzioterapeut (hybnost, berle). Sociální odbor / příspěvek na péči (nastavit tak, aby podporoval samostatnost). — Zdroj: bibliografie.md ⚠️ ověřit aktuálnost","pripad23 organizace propojeni"
